,flags,time/s,control/V,Ewe/V,I/mA,(Q-Qo)/C,I Range,overvoltage,irfree
174,22,3774.320304652574,0.21720186,0.2169702,0.17435786561823008,0.005927476,40,8.717893280911504e-05,0.2168830263741977
175,22,3774.6327046446822,0.2184516,0.21822585,0.17459147616579695,0.005982756,40,8.729573808289848e-05,0.21813855591692352
176,22,3774.9453046367853,0.219702,0.21948318,0.17561700676908054,0.006038327,40,8.780850338454027e-05,0.21939537333083634
177,22,3775.257904628903,0.22095226,0.22075552,0.1740289721613002,0.0060938154,40,8.70144860806501e-05,0.22066850299667692
178,22,3775.5703046209965,0.22220194,0.22199899,0.1734793819839653,0.0061489595,40,8.673969099198264e-05,0.22191224989106978
179,22,3775.8829046130995,0.2234524,0.22325206,0.17333188312629488,0.00620404,40,8.666594156314745e-05,0.22316539208761166
180,22,3776.1954046052124,0.22470222,0.22450265,0.17495402236807678,0.0062593617,40,8.747701118403839e-05,0.22441517587234563
181,22,3776.5079045973253,0.22595233,0.22574417,0.1743757528470944,0.006314831,40,8.71878764235472e-05,0.22565698505429393
182,22,3776.8205045894138,0.2272028,0.22699463,0.17648615470184392,0.006370568,40,8.824307735092196e-05,0.22690639059727066
183,22,3777.1331045815314,0.22845313,0.22824645,0.17604568755463623,0.0064265174,40,8.802284377731812e-05,0.22815842758041702
184,22,3777.445504573625,0.22970265,0.22949158,0.1767457920787079,0.0064825322,40,8.837289603935395e-05,0.2294032036563517
185,22,3777.758104565728,0.2309532,0.23071736,0.17559002055919448,0.006538526,40,8.779501027959724e-05,0.23062956596307857
186,22,3778.0706045578336,0.23220317,0.23198736,0.1769466647486091,0.0065945485,40,8.847333237430454e-05,0.2318988838072131
187,22,3778.3831045499537,0.23345302,0.23323919,0.17650385174188205,0.0066507016,40,8.825192587094102e-05,0.2331509368644504
188,22,3778.695704542042,0.23470353,0.23448135,0.17735926537661673,0.006706951,40,8.867963268830837e-05,0.2343926699547522
189,22,3779.0081045341503,0.23595318,0.23572727,0.17713806403382448,0.00676325,40,8.856903201691225e-05,0.23563869644516358
190,22,3779.3207045262534,0.23720345,0.23697622,0.17803287056422645,0.006819707,40,8.901643528211323e-05,0.2368872047685219
191,22,3779.6333045183565,0.2384539,0.23822321,0.17738451542262101,0.006876205,40,8.869225771131051e-05,0.23813451771943867
192,22,3779.9457045104646,0.23970361,0.2394783,0.18012400115590432,0.006933061,40,9.006200057795216e-05,0.2393882429816074
193,22,3780.2583045025676,0.24095389,0.24073581,0.18029383818449185,0.0069903326,40,9.014691909224593e-05,0.24064566705624194
194,22,3780.5709044946707,0.24220425,0.24198274,0.1810127020535397,0.00704773,40,9.050635102676984e-05,0.24189223679300856
195,22,3780.883304486779,0.24345398,0.2432454,0.18130953032571995,0.007105296,40,9.065476516285997e-05,0.24315473827263315
196,22,3781.195904478882,0.24470434,0.24447693,0.1819417331764943,0.0071630864,40,9.097086658824716e-05,0.2443859584403957
197,22,3781.508504470985,0.2459546,0.24572673,0.1816302657210176,0.007220941,40,9.08151328605088e-05,0.245635919266935
198,22,3781.820904463093,0.2472043,0.24697965,0.1834473419342042,0.007279063,40,9.17236709671021e-05,0.24688793016432953
199,22,3782.133504455196,0.24845472,0.24822555,0.18356138226966046,0.0073374826,40,9.178069113483023e-05,0.2481337741327406
200,22,3782.4460044473017,0.24970469,0.24947596,0.18377218027190878,0.007395981,40,9.188609013595439e-05,0.2493840698729988
201,22,3782.7585044394073,0.2509547,0.25071892,0.18394953409661507,0.007454536,40,9.197476704830753e-05,0.25062694665591007
202,22,3783.071104431525,0.2522052,0.25197676,0.18555404386666785,0.007513372,40,9.277702193333393e-05,0.2518839812197201
203,22,3783.3837044236134,0.2534553,0.25322017,0.18498449166430309,0.007572405,40,9.249224583215155e-05,0.25312767849048073
204,22,3783.6961044157215,0.254705,0.2544715,0.18563607209808264,0.007631416,40,9.281803604904132e-05,0.25437869261267837
205,22,3784.0087044078246,0.25595555,0.2557136,0.18464496513262607,0.007690383,40,9.232248256631304e-05,0.2556212893586355
206,22,3784.3212043999374,0.25720543,0.25697404,0.18633220047777588,0.0077494914,40,9.316610023888795e-05,0.2568808753617057
207,22,3784.6337043920357,0.25845537,0.25821736,0.18633404665932307,0.0078088734,40,9.316702332966154e-05,0.25812419752630716
208,22,3784.946304384139,0.25970593,0.2594728,0.1870971317912676,0.007868446,40,9.35485658956338e-05,0.2593792388143229
209,22,3785.2588043762444,0.26095596,0.26072863,0.1869827766252934,0.007928119,40,9.349138831264669e-05,0.26063513605500094
